chart_year,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All time (1989),Joy Division,Love Will Tear Us Apart (1980),0.559,0.716,11.0,-3.964,0.0,0.39,0.737,0.0,0.252,0.504,176.618,audio_features,4jtyUzZm9WLc2AdaJ1dso7,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,https://api.spotify.com/v1/tracks/4jtyUzZm9WLc2AdaJ1dso7,https://api.spotify.com/v1/audio-analysis/4jtyUzZm9WLc2AdaJ1dso7,275227.0,4.0
All time (1990),Joy Division,Love Will Tear Us Apart (1980),0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
All time (1991),Nirvana,Smells Like Teen Spirit (1991),0.783,0.479,7.0,-10.646,1.0,0.541,0.149,0.0,0.101,0.533,176.027,audio_features,3JKgcAa7r07ocVWcV8bS0H,spotify:track:3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/tracks/3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/audio-analysis/3JKgcAa7r07ocVWcV8bS0H,163798.0,4.0
1993,Denis Leary,Asshole,0.83,0.585,0.0,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978,audio_features,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,173711.0,4.0
1994,The Cranberries,Zombie,0.813,0.557,10.0,-6.655,0.0,0.133,0.0547,0.0,0.128,0.764,83.012,audio_features,4wmZtoif8SGm7PDqgKrEXr,spotify:track:4wmZtoif8SGm7PDqgKrEXr,https://api.spotify.com/v1/tracks/4wmZtoif8SGm7PDqgKrEXr,https://api.spotify.com/v1/audio-analysis/4wmZtoif8SGm7PDqgKrEXr,104912.0,4.0
1995,Oasis,Wonderwall,0.52,0.852,0.0,-5.866,1.0,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,audio_features,58ge6dfP91o9oXMzq3XkIS,spotify:track:58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,253587.0,4.0
1996,Spiderbait,Buy Me a Pony,0.618,0.717,7.0,-5.738,1.0,0.318,0.00256,0.0,0.625,0.603,190.05,audio_features,5NQbUaeTEOGdD6hHcre0dZ,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,196693.0,4.0
1997,The Whitlams,No Aphrodisiac,0.466,0.786,0.0,-5.13,1.0,0.0328,0.417,6.1e-05,0.125,0.571,203.903,audio_features,4obHzpwGrjoTuZh2DItEMZ,spotify:track:4obHzpwGrjoTuZh2DItEMZ,https://api.spotify.com/v1/tracks/4obHzpwGrjoTuZh2DItEMZ,https://api.spotify.com/v1/audio-analysis/4obHzpwGrjoTuZh2DItEMZ,210507.0,4.0
1998,The Offspring,Pretty Fly (For a White Guy),0.532,0.584,8.0,-5.254,1.0,0.0248,0.723,0.0,0.101,0.367,88.003,audio_features,0sKEilrw1GrBlG6qsTCrP4,spotify:track:0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/tracks/0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/audio-analysis/0sKEilrw1GrBlG6qsTCrP4,190680.0,4.0
All Time (1998),Nirvana,Smells Like Teen Spirit (1991),0.402,0.526,9.0,-6.741,0.0,0.0904,0.113,8.33e-06,0.105,0.312,81.404,audio_features,51EC3I1nQXpec4gDk0mQyP,spotify:track:51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/tracks/51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/audio-analysis/51EC3I1nQXpec4gDk0mQyP,339067.0,4.0
1999,Powderfinger,These Days,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
2000,Powderfinger,My Happiness,0.777,0.712,10.0,-4.84,1.0,0.277,0.217,0.0,0.091,0.68,95.692,audio_features,7KbF6AdprOXEEHlsq11Z6d,spotify:track:7KbF6AdprOXEEHlsq11Z6d,https://api.spotify.com/v1/tracks/7KbF6AdprOXEEHlsq11Z6d,https://api.spotify.com/v1/audio-analysis/7KbF6AdprOXEEHlsq11Z6d,175733.0,4.0
2001,Alex Lloyd,Amazing,0.636,0.656,2.0,-5.542,0.0,0.0676,0.451,7.97e-06,0.287,0.439,171.918,audio_features,3KJ3opyV29269SXkPrc19l,spotify:track:3KJ3opyV29269SXkPrc19l,https://api.spotify.com/v1/tracks/3KJ3opyV29269SXkPrc19l,https://api.spotify.com/v1/audio-analysis/3KJ3opyV29269SXkPrc19l,151506.0,4.0
2002,Queens of the Stone Age,No One Knows,0.664,0.688,11.0,-6.466,0.0,0.0543,0.153,9.14e-05,0.173,0.65,106.022,audio_features,38td8VabuKlQt72Q2VnhbO,spotify:track:38td8VabuKlQt72Q2VnhbO,https://api.spotify.com/v1/tracks/38td8VabuKlQt72Q2VnhbO,https://api.spotify.com/v1/audio-analysis/38td8VabuKlQt72Q2VnhbO,230063.0,4.0
2003,Jet,Are You Gonna Be My Girl,0.825,0.572,6.0,-6.067,0.0,0.0864,0.0079,0.0,0.113,0.568,141.991,audio_features,75lcPkAkUsKWHGBlGM476R,spotify:track:75lcPkAkUsKWHGBlGM476R,https://api.spotify.com/v1/tracks/75lcPkAkUsKWHGBlGM476R,https://api.spotify.com/v1/audio-analysis/75lcPkAkUsKWHGBlGM476R,175954.0,4.0
2004,Franz Ferdinand,Take Me Out,0.756,0.867,7.0,-3.626,1.0,0.162,0.155,0.00285,0.33,0.666,129.983,audio_features,22WV03i2lBbwNVCE1g671p,spotify:track:22WV03i2lBbwNVCE1g671p,https://api.spotify.com/v1/tracks/22WV03i2lBbwNVCE1g671p,https://api.spotify.com/v1/audio-analysis/22WV03i2lBbwNVCE1g671p,156780.0,4.0
2005,Bernard Fanning,Wish You Well,0.607,0.45,0.0,-8.507,1.0,0.0338,0.0663,1.12e-05,0.107,0.121,105.992,audio_features,6akBF8JWM8lrpqejdwIfYI,spotify:track:6akBF8JWM8lrpqejdwIfYI,https://api.spotify.com/v1/tracks/6akBF8JWM8lrpqejdwIfYI,https://api.spotify.com/v1/audio-analysis/6akBF8JWM8lrpqejdwIfYI,244907.0,4.0
2006,Augie March,One Crowded Hour,0.558,0.364,5.0,-8.663,1.0,0.0502,0.169,9.94e-05,0.109,0.252,129.17,audio_features,034KyQEk7IhbLtniVhBErj,spotify:track:034KyQEk7IhbLtniVhBErj,https://api.spotify.com/v1/tracks/034KyQEk7IhbLtniVhBErj,https://api.spotify.com/v1/audio-analysis/034KyQEk7IhbLtniVhBErj,160737.0,4.0
2007,Muse,Knights of Cydonia,0.681,0.582,6.0,-7.76,0.0,0.0313,0.22,0.0,0.119,0.221,124.038,audio_features,3JjnGLK8IxkNLvo8Lb3KOM,spotify:track:3JjnGLK8IxkNLvo8Lb3KOM,https://api.spotify.com/v1/tracks/3JjnGLK8IxkNLvo8Lb3KOM,https://api.spotify.com/v1/audio-analysis/3JjnGLK8IxkNLvo8Lb3KOM,248360.0,4.0
2021,Olivia Rodrigo,Drivers License,0.6,0.535,4.0,-7.043,1.0,0.107,0.648,4.7e-06,0.162,0.269,71.912,audio_features,0CZ8lquoTX2Dkg7Ak2inwA,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,https://api.spotify.com/v1/tracks/0CZ8lquoTX2Dkg7Ak2inwA,https://api.spotify.com/v1/audio-analysis/0CZ8lquoTX2Dkg7Ak2inwA,225133.0,4.0
2021,Ariana Grande,34+35,0.773,0.75,8.0,-4.009,0.0,0.117,0.109,0.0,0.174,0.783,123.426,audio_features,0uxSUdBrJy9Un0EYoBowng,spotify:track:0uxSUdBrJy9Un0EYoBowng,https://api.spotify.com/v1/tracks/0uxSUdBrJy9Un0EYoBowng,https://api.spotify.com/v1/audio-analysis/0uxSUdBrJy9Un0EYoBowng,220587.0,4.0
2021,Lil Tjay Featuring 6LACK,Calling My Phone,0.783,0.479,7.0,-10.646,1.0,0.541,0.149,0.0,0.101,0.533,176.027,audio_features,3JKgcAa7r07ocVWcV8bS0H,spotify:track:3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/tracks/3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/audio-analysis/3JKgcAa7r07ocVWcV8bS0H,163798.0,4.0
2021,The Weeknd,Blinding Lights,0.932,0.547,0.0,-7.787,0.0,0.333,0.0388,0.0,0.0924,0.695,94.998,audio_features,4sjiIpEv617LDXaidKioOI,spotify:track:4sjiIpEv617LDXaidKioOI,https://api.spotify.com/v1/tracks/4sjiIpEv617LDXaidKioOI,https://api.spotify.com/v1/audio-analysis/4sjiIpEv617LDXaidKioOI,176640.0,4.0
2021,Cardi B,Up,0.804,0.383,7.0,-10.984,1.0,0.354,0.563,0.0,0.238,0.455,118.009,audio_features,2DnyKpPcFpC460wLJeGzOs,spotify:track:2DnyKpPcFpC460wLJeGzOs,https://api.spotify.com/v1/tracks/2DnyKpPcFpC460wLJeGzOs,https://api.spotify.com/v1/audio-analysis/2DnyKpPcFpC460wLJeGzOs,243246.0,4.0
2021,The Weeknd,Save Your Tears,0.868,0.638,2.0,-7.746,1.0,0.0736,0.146,0.0565,0.0931,0.459,126.03,audio_features,7v96VvFLS0wSYT8kewNLRy,spotify:track:7v96VvFLS0wSYT8kewNLRy,https://api.spotify.com/v1/tracks/7v96VvFLS0wSYT8kewNLRy,https://api.spotify.com/v1/audio-analysis/7v96VvFLS0wSYT8kewNLRy,182857.0,4.0
2021,24kGoldn Featuring iann dior,Mood,0.761,0.732,4.0,-5.469,0.0,0.0549,0.092,0.0,0.0716,0.542,151.982,audio_features,4NqQaovM14WR2hNPMFxgjb,spotify:track:4NqQaovM14WR2hNPMFxgjb,https://api.spotify.com/v1/tracks/4NqQaovM14WR2hNPMFxgjb,https://api.spotify.com/v1/audio-analysis/4NqQaovM14WR2hNPMFxgjb,243276.0,4.0
2021,Chris Brown & Young Thug,Go Crazy,0.561,0.286,2.0,-10.917,1.0,0.0266,0.852,3.56e-05,0.116,0.409,90.004,audio_features,2EcQY09CYgJ1qk6H1qZf8h,spotify:track:2EcQY09CYgJ1qk6H1qZf8h,https://api.spotify.com/v1/tracks/2EcQY09CYgJ1qk6H1qZf8h,https://api.spotify.com/v1/audio-analysis/2EcQY09CYgJ1qk6H1qZf8h,221720.0,4.0
2021,Dua Lipa Featuring DaBaby,Levitating,0.499,0.654,6.0,-6.782,1.0,0.11,0.0734,0.000144,0.104,0.0464,169.839,audio_features,2Y0y4yxzNmKceQ0nBK2Qwj,spotify:track:2Y0y4yxzNmKceQ0nBK2Qwj,https://api.spotify.com/v1/tracks/2Y0y4yxzNmKceQ0nBK2Qwj,https://api.spotify.com/v1/audio-analysis/2Y0y4yxzNmKceQ0nBK2Qwj,298520.0,4.0
2021,Ariana Grande,Positions,0.174,0.192,6.0,-24.333,1.0,0.0442,0.95,0.763,0.128,0.0346,142.664,audio_features,42dqgyAJNFTnlgfIIfNghx,spotify:track:42dqgyAJNFTnlgfIIfNghx,https://api.spotify.com/v1/tracks/42dqgyAJNFTnlgfIIfNghx,https://api.spotify.com/v1/audio-analysis/42dqgyAJNFTnlgfIIfNghx,97073.0,4.0
2021,Taylor Swift,Love Story (Taylor's Version),0.564,0.519,11.0,-7.878,1.0,0.0294,0.373,0.0,0.0938,0.35,81.028,audio_features,3VGGcNF0O9loBSuLveZEUU,spotify:track:3VGGcNF0O9loBSuLveZEUU,https://api.spotify.com/v1/tracks/3VGGcNF0O9loBSuLveZEUU,https://api.spotify.com/v1/audio-analysis/3VGGcNF0O9loBSuLveZEUU,222979.0,4.0
2021,Pop Smoke,What You Know Bout Love,0.472,0.448,6.0,-7.272,0.0,0.326,0.113,0.0,0.0914,0.636,166.077,audio_features,2ZltjIqztEpZtafc8w0I9t,spotify:track:2ZltjIqztEpZtafc8w0I9t,https://api.spotify.com/v1/tracks/2ZltjIqztEpZtafc8w0I9t,https://api.spotify.com/v1/audio-analysis/2ZltjIqztEpZtafc8w0I9t,234215.0,4.0
2021,Billie Eilish,Therefore I Am,0.843,0.388,1.0,-10.51,0.0,0.844,0.608,4.34e-05,0.12,0.0388,104.927,audio_features,6x8tGqhKi0CaigvlBGA7VF,spotify:track:6x8tGqhKi0CaigvlBGA7VF,https://api.spotify.com/v1/tracks/6x8tGqhKi0CaigvlBGA7VF,https://api.spotify.com/v1/audio-analysis/6x8tGqhKi0CaigvlBGA7VF,30579.0,4.0
2021,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,0.42,0.701,1.0,-7.582,0.0,0.339,0.832,0.0,0.103,0.671,79.716,audio_features,5MvCurNMpM3WCCSs40cd37,spotify:track:5MvCurNMpM3WCCSs40cd37,https://api.spotify.com/v1/tracks/5MvCurNMpM3WCCSs40cd37,https://api.spotify.com/v1/audio-analysis/5MvCurNMpM3WCCSs40cd37,349040.0,4.0
2021,CJ,Whoopty,0.732,0.462,5.0,-10.191,0.0,0.406,0.126,0.0,0.12,0.117,180.067,audio_features,2iW6Hb6kfrz2K7EhPibFiq,spotify:track:2iW6Hb6kfrz2K7EhPibFiq,https://api.spotify.com/v1/tracks/2iW6Hb6kfrz2K7EhPibFiq,https://api.spotify.com/v1/audio-analysis/2iW6Hb6kfrz2K7EhPibFiq,170057.0,4.0
2021,Pooh Shiesty Featuring Lil Durk,Back In Blood,0.83,0.585,0.0,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978,audio_features,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,173711.0,4.0
2021,Justin Bieber Featuring Chance The Rapper,Holy,0.773,0.595,8.0,-6.062,0.0,0.161,0.114,2.47e-06,0.13,0.338,123.968,audio_features,1SGt65i9AnXYdDQt1AtDRH,spotify:track:1SGt65i9AnXYdDQt1AtDRH,https://api.spotify.com/v1/tracks/1SGt65i9AnXYdDQt1AtDRH,https://api.spotify.com/v1/audio-analysis/1SGt65i9AnXYdDQt1AtDRH,461840.0,4.0
2021,SZA,Good Days,0.745,0.693,2.0,-5.479,0.0,0.034,0.339,0.0,0.123,0.248,98.039,audio_features,2XWjPtKdi5sucFYtVav07d,spotify:track:2XWjPtKdi5sucFYtVav07d,https://api.spotify.com/v1/tracks/2XWjPtKdi5sucFYtVav07d,https://api.spotify.com/v1/audio-analysis/2XWjPtKdi5sucFYtVav07d,181900.0,4.0
2021,Gabby Barrett Featuring Charlie Puth,I Hope,0.359,0.897,4.0,-6.359,1.0,0.095,0.00142,0.000559,0.105,0.355,157.88,audio_features,4xvNjUqX0t9ilsXSARVg13,spotify:track:4xvNjUqX0t9ilsXSARVg13,https://api.spotify.com/v1/tracks/4xvNjUqX0t9ilsXSARVg13,https://api.spotify.com/v1/audio-analysis/4xvNjUqX0t9ilsXSARVg13,229973.0,4.0
2021,Luke Combs,Better Together,0.712,0.661,3.0,-5.873,0.0,0.268,0.109,0.0,0.0626,0.836,152.065,audio_features,35zkqY6kIGshmm8HhE3eSi,spotify:track:35zkqY6kIGshmm8HhE3eSi,https://api.spotify.com/v1/tracks/35zkqY6kIGshmm8HhE3eSi,https://api.spotify.com/v1/audio-analysis/35zkqY6kIGshmm8HhE3eSi,173684.0,4.0
2021,Bad Bunny & Jhay Cortez,Dakiti,0.187,0.237,7.0,-22.685,1.0,0.0558,0.935,0.698,0.111,0.198,141.363,audio_features,7oCKrpWiz8QIn0Jkr0G6sR,spotify:track:7oCKrpWiz8QIn0Jkr0G6sR,https://api.spotify.com/v1/tracks/7oCKrpWiz8QIn0Jkr0G6sR,https://api.spotify.com/v1/audio-analysis/7oCKrpWiz8QIn0Jkr0G6sR,129500.0,4.0
2021,Justin Bieber & benny blanco,Lonely,0.688,0.489,0.0,-7.848,1.0,0.0378,0.00053,0.00292,0.143,0.364,94.27,audio_features,0vtJ9Dq53hfXE3KyP1yPni,spotify:track:0vtJ9Dq53hfXE3KyP1yPni,https://api.spotify.com/v1/tracks/0vtJ9Dq53hfXE3KyP1yPni,https://api.spotify.com/v1/audio-analysis/0vtJ9Dq53hfXE3KyP1yPni,183000.0,4.0
2021,Tate McRae,You Broke Me First.,0.142,0.074,8.0,-30.556,1.0,0.0448,0.948,0.903,0.0944,0.0438,141.91,audio_features,0AHZtMbyjHWhtWmqE8Egv7,spotify:track:0AHZtMbyjHWhtWmqE8Egv7,https://api.spotify.com/v1/tracks/0AHZtMbyjHWhtWmqE8Egv7,https://api.spotify.com/v1/audio-analysis/0AHZtMbyjHWhtWmqE8Egv7,176250.0,4.0
2021,Yung Bleu Featuring Drake,You're Mines Still,0.926,0.542,1.0,-5.064,1.0,0.293,0.135,0.0,0.0877,0.564,135.14,audio_features,6gxKUmycQX7uyMwJcweFjp,spotify:track:6gxKUmycQX7uyMwJcweFjp,https://api.spotify.com/v1/tracks/6gxKUmycQX7uyMwJcweFjp,https://api.spotify.com/v1/audio-analysis/6gxKUmycQX7uyMwJcweFjp,181929.0,4.0
2021,Taylor Swift,Willow,0.27,0.103,9.0,-27.18,1.0,0.0454,0.876,0.941,0.0819,0.0387,132.644,audio_features,0lD9X7rCCtgYzdduGOjqkN,spotify:track:0lD9X7rCCtgYzdduGOjqkN,https://api.spotify.com/v1/tracks/0lD9X7rCCtgYzdduGOjqkN,https://api.spotify.com/v1/audio-analysis/0lD9X7rCCtgYzdduGOjqkN,115000.0,4.0
2021,Megan Thee Stallion,Body,0.824,0.584,10.0,-7.098,0.0,0.221,0.0718,0.0,0.106,0.219,139.965,audio_features,3e7Y6sfFlIdBMJhX7wpqVO,spotify:track:3e7Y6sfFlIdBMJhX7wpqVO,https://api.spotify.com/v1/tracks/3e7Y6sfFlIdBMJhX7wpqVO,https://api.spotify.com/v1/audio-analysis/3e7Y6sfFlIdBMJhX7wpqVO,188600.0,4.0
2021,Doja Cat,Streets,0.446,0.657,7.0,-4.494,1.0,0.0262,0.0022,0.0,0.189,0.215,152.132,audio_features,420JGkyLfLUZcgBHKiIK9v,spotify:track:420JGkyLfLUZcgBHKiIK9v,https://api.spotify.com/v1/tracks/420JGkyLfLUZcgBHKiIK9v,https://api.spotify.com/v1/audio-analysis/420JGkyLfLUZcgBHKiIK9v,250093.0,3.0
2021,Justin Bieber,Anyone,0.781,0.489,1.0,-9.953,1.0,0.0771,0.114,0.000458,0.113,0.328,87.979,audio_features,2IYXP4uYB1fta61jcdIMil,spotify:track:2IYXP4uYB1fta61jcdIMil,https://api.spotify.com/v1/tracks/2IYXP4uYB1fta61jcdIMil,https://api.spotify.com/v1/audio-analysis/2IYXP4uYB1fta61jcdIMil,197407.0,4.0
2021,Machine Gun Kelly X blackbear,My Ex's Best Friend,0.711,0.699,6.0,-4.891,1.0,0.193,0.248,0.0,0.254,0.376,146.016,audio_features,6IoKSUyNOOheJRjiuGb1ew,spotify:track:6IoKSUyNOOheJRjiuGb1ew,https://api.spotify.com/v1/tracks/6IoKSUyNOOheJRjiuGb1ew,https://api.spotify.com/v1/audio-analysis/6IoKSUyNOOheJRjiuGb1ew,517810.0,4.0
2021,BRS Kash,Throat Baby (Go Baby),0.558,0.887,1.0,-8.083,1.0,0.276,0.132,0.0,0.89,0.535,119.893,audio_features,2wK7y55bzry7tUDmDqYaz7,spotify:track:2wK7y55bzry7tUDmDqYaz7,https://api.spotify.com/v1/tracks/2wK7y55bzry7tUDmDqYaz7,https://api.spotify.com/v1/audio-analysis/2wK7y55bzry7tUDmDqYaz7,247293.0,4.0
